Comment,Description,Designator,Footprint,LibRef,MPN,MYPN,Quantity,VENDOR,DPN,DURL
"White LED","White LED 0805","D30B","CD2012-0805","LED2","WLUW0805A-612-I15","D-LED-WHITE1-0805","1","Wenling","",""
"Green LED","Typical RED, GREEN, YELLOW, AMBER GaAs LED","D31B","CD2012-0805","LED2","","","1","","",""
"Microstrip antenna","50 ohm SMA Edge Launch Connector","E10M","900Mhz_Microstrip","BNC","DNP","DNP","1","DNP","H9161CT-ND","http://www.digikey.com/product-detail/en/U.FL-R-SMT%2810%29/H9161CT-ND/2135256"
"Current Limiter","Fuse","F10B","Thermistor 200mA","Fuse 2","0ZCJ0020FF2E","F-200ma-0.1s-1206","1","","507-1797-2-ND","http://www.digikey.com/product-detail/en/0ZCJ0020FF2E/507-1797-2-ND/4156326"
"PWR_TST","Test Point","J10M","TP","TP","DNP","DNP","1","DNP","",""
"SWD_DIO_TST","Test Point","J11M","TP","TP","DNP","DNP","1","DNP","",""
"SWD_CLK_TST","Test Point","J12M","TP","TP","DNP","DNP","1","DNP","",""
"MCU_RST_TST","Test Point","J13M","TP","TP","DNP","DNP","1","DNP","",""
"GND_TST","Test Point","J14M","TP","TP","DNP","DNP","1","DNP","",""
"33nH 5% Q>8","chip inductor, 0603","L10M","INDC1608AN","Inductor","VHF160808H33NJT","L-33N-MLC-0603","1","Fenghua","",""
"4.7nH+/-0.3nH Q>8","chip inductor, 0603","L11M","INDC1608AN","Inductor","VHF160808H4N7ST","L-4N7-MLC-0603","1","Fenghua","",""
"6.8nH 5% Q>8","chip inductor, 0603","L12M, L13M","INDC1608AN","Inductor","FHW0603UC6N8KGT","L-6N8-WWL-0603","2","Fenghua","",""
"NT-ORCHARD-FW1","Placeholder for non-electrical BOM items","NT10M","","NOTE","Orchard Firmware EVT1","NT-ORCHARD-FW1","1","Sutajio Ko-Usagi PTE LTD","",""
"SW1 Pad","User pad, with multiple connection types","P10B","Userport","Userpad","DNP","DNP","1","DNP","0197084023-ND","http://www.digikey.com/product-detail/en/0197084023/0197084023-ND/3183363"
"U.FL socket","50 ohm SMA Edge Launch Connector","P10M","U.FL","BNC","U.FL-R-SMT-1(10)","J-RF-UFL-EDGE-50OHM","1","Any/open","H9161CT-ND","http://www.digikey.com/product-detail/en/U.FL-R-SMT%2810%29/H9161CT-ND/2135256"
"SW7 Pad","User pad, with multiple connection types","P11B","Userport","Userpad","DNP","DNP","1","DNP","0197084023-ND","http://www.digikey.com/product-detail/en/0197084023/0197084023-ND/3183363"
"Header 5X2","Header, 5-Pin, Dual row","P11M","5x2 .05 Connector","Header 5X2","","P-0p05-5x2","1","","952-1383-ND","http://www.digikey.com/product-search/en?KeyWords=M50-3500542"
"SW13 Pad","User pad, with multiple connection types","P12B","Userport","Userpad","DNP","DNP","1","DNP","0197084023-ND","http://www.digikey.com/product-detail/en/0197084023/0197084023-ND/3183363"
"SW2 Pad","User pad, with multiple connection types","P13B","Userport","Userpad","DNP","DNP","1","DNP","0197084023-ND","http://www.digikey.com/product-detail/en/0197084023/0197084023-ND/3183363"
"SW8 Pad","User pad, with multiple connection types","P14B","Userport","Userpad","DNP","DNP","1","DNP","0197084023-ND","http://www.digikey.com/product-detail/en/0197084023/0197084023-ND/3183363"
"SW14 Pad","User pad, with multiple connection types","P15B","Userport","Userpad","DNP","DNP","1","DNP","0197084023-ND","http://www.digikey.com/product-detail/en/0197084023/0197084023-ND/3183363"
"SW3 Pad","User pad, with multiple connection types","P16B","Userport","Userpad","DNP","DNP","1","DNP","0197084023-ND","http://www.digikey.com/product-detail/en/0197084023/0197084023-ND/3183363"
"SW9 Pad","User pad, with multiple connection types","P17B","Userport","Userpad","DNP","DNP","1","DNP","0197084023-ND","http://www.digikey.com/product-detail/en/0197084023/0197084023-ND/3183363"
"SW15 Pad","User pad, with multiple connection types","P18B","Userport","Userpad","DNP","DNP","1","DNP","0197084023-ND","http://www.digikey.com/product-detail/en/0197084023/0197084023-ND/3183363"
"SW4 Pad","User pad, with multiple connection types","P19B","Userport","Userpad","DNP","DNP","1","DNP","0197084023-ND","http://www.digikey.com/product-detail/en/0197084023/0197084023-ND/3183363"
"SW10 Pad","User pad, with multiple connection types","P20B","Userport","Userpad","DNP","DNP","1","DNP","0197084023-ND","http://www.digikey.com/product-detail/en/0197084023/0197084023-ND/3183363"
"SW16 Pad","User pad, with multiple connection types","P21B","Userport","Userpad","DNP","DNP","1","DNP","0197084023-ND","http://www.digikey.com/product-detail/en/0197084023/0197084023-ND/3183363"
"SW5 Pad","User pad, with multiple connection types","P22B","Userport","Userpad","DNP","DNP","1","DNP","0197084023-ND","http://www.digikey.com/product-detail/en/0197084023/0197084023-ND/3183363"
"SW11 Pad","User pad, with multiple connection types","P23B","Userport","Userpad","DNP","DNP","1","DNP","0197084023-ND","http://www.digikey.com/product-detail/en/0197084023/0197084023-ND/3183363"
"SW17 Pad","User pad, with multiple connection types","P24B","Userport","Userpad","DNP","DNP","1","DNP","0197084023-ND","http://www.digikey.com/product-detail/en/0197084023/0197084023-ND/3183363"
"SW6 Pad","User pad, with multiple connection types","P25B","Userport","Userpad","DNP","DNP","1","DNP","0197084023-ND","http://www.digikey.com/product-detail/en/0197084023/0197084023-ND/3183363"
"SW12 Pad","User pad, with multiple connection types","P26B","Userport","Userpad","DNP","DNP","1","DNP","0197084023-ND","http://www.digikey.com/product-detail/en/0197084023/0197084023-ND/3183363"
"SW18 Pad","User pad, with multiple connection types","P27B","Userport","Userpad","DNP","DNP","1","DNP","0197084023-ND","http://www.digikey.com/product-detail/en/0197084023/0197084023-ND/3183363"
"Ground Pad 1","User pad, with multiple connection types","P28B","Userport","Userpad","DNP","DNP","1","DNP","0197084023-ND","http://www.digikey.com/product-detail/en/0197084023/0197084023-ND/3183363"
"Power Pad 1","User pad, with multiple connection types","P29B","Userport","Userpad","DNP","DNP","1","DNP","0197084023-ND","http://www.digikey.com/product-detail/en/0197084023/0197084023-ND/3183363"
"Ground Pad 2","User pad, with multiple connection types","P30B","Userport","Userpad","DNP","DNP","1","DNP","0197084023-ND","http://www.digikey.com/product-detail/en/0197084023/0197084023-ND/3183363"
"Power Pad 2","User pad, with multiple connection types","P31B","Userport","Userpad","DNP","DNP","1","DNP","0197084023-ND","http://www.digikey.com/product-detail/en/0197084023/0197084023-ND/3183363"
"SI2323 (DNP)","P-Channel MOSFET","Q10B","E3","MOSFET-P","","","1","","",""
"100, 1%","Resistor","R10B, R11B, R12B, R13B, R14B, R15B, R21B, R22B, R25B, R26B, R28B, R29B, R31B, R32B","RESC1005N","Res1","ANY","R-101-1P-1_16W-0402","14","ANY","311-100LRCT-ND","http://www.digikey.com/product-detail/en/RC0402FR-07100RL/311-100LRCT-ND/729474"
"1k, 1%","Resistor","R12M, R20B, R34B, R35B","RESC1005N","Res1","RS02U102FT","R-102-1P-1_16W-0402","4","Fenghua","",""
"10k, 1%","Resistor","R16B, R24B","RESC1005N","Res1","ANY, [NoValue]","R-103-1P-1_16W-0402, R-102-1P-1_16W-0402","2","ANY, Fenghua","",""
"2.2k, 1%","Resistor","R17B","RESC1005N","Res1","ANY","R-222-1P-1_16W-0402","1","ANY","",""
"56k, 1%","Resistor","R18B","RESC1005N","Res1","ANY","R-563-1P-1_16W-0402","1","ANY","",""
"22k, 1%","Resistor","R19B","RESC1005N","Res1","ANY","R-223-1P-1_16W-0402","1","ANY","",""
"0 ohm","Resistor","R23B, R27B, R30B, R33B, R36B, R37B","RESC1005N","Res1","ANY-0402-0OHM","R-000-1_4W-0402","6","ANY","",""
"Mode Select Switch","","SW10B","SK-14D01-G","Switch-4way","SK-14D01-G 6","SW-SL-1x6-2.0","1","","",""
"5x5mm 1.6mm tall PB","Chi Fung TS-1187A","SW10M, SW11B","SWITCH_TS-1187A","Header 4","SW-PB-5X5-1.6","SW-PB-5X5-1.6","2","Kangdeli","",""
"MKW01Z128CHN","Freescale Kinetis Integrated Radio + MCU, < 1GHz","U10M","KINETIS_W_QFN50P800X800X98_HS-57N","MKW01Z128CHN","MKW01Z128CHN","UMKW01Z128XX","1","Freescale","",""
"32.000MHz","32 MHz, 7pF CL 10ppm 3225 SMD crystal","Y10M","NDK_NX3225SA","XTAL","SJSMD3232M012F10","X-32.000M-SONGJI","1","Songji","",""
